close,,setrlimit,clone,execve,set_thread_area,madvise,chdir,chmod,mkdir,mknod,futimesat,chown,,socket,listen,,settimeofday,getpriority,tee,getcpu,create_module,bpf,chroot,exit
dup,flock,getrlimit,fork,execveat,get_thread_area,mprotect,access,fchmod,mkdirat,mknodat,utimensat,fchown,sendto,bind,,,adjtimex,setpriority,splice,set_mempolicy,init_module,,umount2,_exit
dup2,fcntl,prlimit64,vfork,,set_tid_address,mmap,faccessat,fchmodat,rename,,utime,fchownat,,connect,,,clock_settime,capset,vmsplit,get_mempolicy,finit_module,,mount,seccomp
dup3,,getrusage,exit,,arch_prctl,munmap,getcwd,creat,renameat,ustat,utimes,lchown,,listen,,,,capget,shmget,mbind,delete_module,,uselib,
write,,acct,exit_group,,clone,mremap,getdents,faccessat,renameat2,,fgetxattr,,,accept,,,,setns,shmctl,move_pages,query_module,,tuxcall,syslog
pwrite64,,quotactl,wait4,,fork,msync,getdents64,getcwd,rmdir,,flistxattr,,,accept4,,,,setpriority,shmat,migrate_pages,get_kernel_syms,,afs_syscall,
read,,ustat,waitid,,set_tid_address,brk,lstat,lstat,symlink,,fremovexattr,,,socketpair,,,,getpriority,shmdt,,pivot_root,,vserver,
preadv,,statfs,getpid,,,mlock,openat,openat,symlinkat,,fsetxattr,,,setsockopt,,,,setgroups,semget,,swapon,,getpmsg,
pread64,,fstatfs,getppid,,,mlock2,readlinkat,readlinkat,unlink,,getxattr,,,getsockopt,,,,setpgid,semctl,,swapoff,,putpmsg,
preadv,,sysfs,gettid,,,mlockall,newfstatat,truncate,unlinkat,,listxattr,,,getsockname,,,,setuid,semop,,mount,,security,
lseek,,uname,,,,munlock,name_to_handle_at,,link,,llistxattr,,,getpeername,,,,setgid,semtimedop,,umount2,,,
"__sendto, sendmsg (restricted)",,sysinfo,getsid,,,munlockall,,open_by_handle_at,linkat,,lremovexattr,,,shutdown,,,,setresuid,msgget,,nfsservctl,,,
sendmsg,,perf_event_open,,,,mincore,,,,,lsetxattr,,,,,,,setresgid,msgctl,,_sysctl,,,
recvmsg,,fstatfs64,getpgid,,,membarrier,,,,,removexattr,,,,,,,setreuid,msgsnd,,syslog,,,
recvfrom,,fstatat,getpgrp,,,modify_ldt,,,,,lgetxattr,,,,,,,setregid,msgrcv,,personality,,,
poll,,getcpu,,,,remap_file_pages,,,,,statx,,,,,,,setfsuid,mq_open,,reboot,,,
select,,uname,getuid,,,sync_file_pages,,,,,setxattr,,,,,,,setfsgid,mq_unlink,,kexec_load,,,
gettimeofday,,,sched_setattr,,,,,,,,,,,,,,,,,,,,,
,,,sched_setparam,,,,,,,,,,,,,,,,,,,,,
clock_gettime,,,sched_setscheduler,,,,,,,,,,,,,,,,,,,,,
clock_getres,,,sched_yield,,,,,,,,,,,,,,,,,,,,,
clock_adjtime,,,,,,,,,,,,,,,,,,,,,,,,
clock_nanosleep,,,,,,,,,,,,,,,,,,,,,,,,
timer_create,,,ioprio_set,,,,,,,,,,,,,,,,,,,,,
timer_delete,,,ioprio_get,,,,,,,,,,,,,,,,,,,,,
timer_settime,,,,,,,,,,,,,,,,,,,,,,,,
timer_gettime,,,,,,,,,,,,,,,,,,,,,,,,
timer_getoverrun,,,,,,,,,,,,,,,,,,,,,,,,
alarm,,,waitid,,,,,,,,,,,,,,,,,,,,,
setitimer,,,move_pages,,,,,,,,,,,,,,,,,,,,,
getitimer,,,migrate_pages,,,,,,,,,,,,,,,,,,,,,
ftime,,,,,,,,,,,,,,,,,,,,,,,,
timerfd_create,,,set_thread_area,,,,,,,,,,,,,,,,,,,,,
timerfd_gettime,,,unshare,,,,,,,,,,,,,,,,,,,,,
timerfd_settime,,,,,,,,,,,,,,,,,,,,,,,,
sched_yield,,,,,,,,,,,,,,,,,,,,,,,,
getpriority,,,,,,,,,,,,,,,,,,,,,,,,
getpid,,,,,,,,,,,,,,,,,,,,,,,,
getppid,,,,,,,,,,,,,,,,,,,,,,,,
gettid,,,,,,,,,,,,,,,,,,,,,,,,
getresgid,,,,,,,,,,,,,,,,,,,,,,,,
geteuid,,,,,,,,,,,,,,,,,,,,,,,,
getegid,,,,,,,,,,,,,,,,,,,,,,,,
getgroups,,,,,,,,,,,,,,,,,,,,,,,,
getresuid,,,,,,,,,,,,,,,,,,,,,,,,
getgid,,,,,,,,,,,,,,,,,,,,,,,,
getuid,,,,,,,,,,,,,,,,,,,,,,,,
getpgid,,,,,,,,,,,,,,,,,,,,,,,,
getpgrp,,,,,,,,,,,,,,,,,,,,,,,,
getsid,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
madvise,,,,,,,,,,,,,,,,,,,,,,,,
mmap,,,,,,,,,,,,,,,,,,,,,,,,
munmap,,,,,,,,,,,,,,,,,,,,,,,,
mremap,,,,,,,,,,,,,,,,,,,,,,,,
msync,,,,,,,,,,,,,,,,,,,,,,,,
brk,,,,,,,,,,,,,,,,,,,,,,,,
mlock,,,,,,,,,,,,,,,,,,,,,,,,
